part_name,part_number,quantity,material_type,material_grade,material_thickness,finish,cut_len_in,num_cuts,mat_use_sqin,sheet_area_sqin,surf_area_sqin,volume_in3,length_in,thickness,source_file,part_id,price_per_part
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.032,Deburred,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,55.32
Cube,25-09-242-078,1,Aluminum,5052-H32,0.032,Deburred,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,14.06
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.032,Deburred,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,146.72
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.032,Deburred,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,69.08
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.032,Deburred,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuUTxABXuZdELzMzpdOKMZzj,40.98
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.032,Deburred,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p032_Deburred.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,26.05
Cube003,25-09-225-627,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,320,1,1500,1500,3320,1500,150,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuS3Jt0XDMU7lmsQQyV84yP3,212.64
Cube,25-09-242-078,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,40,1,100,100,240,100,10,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuW5eTNGSaU3VuBPdDCmcGtQ,28.21
Cube005,25-09-250-860,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,1020,1,5000,5000,11020,5000,500,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuS0nQV4GVsm5YmgtOHfC1Hs,661.97
Cube004,25-09-292-390,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,420,1,2000,2000,4420,2000,200,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuRN5yY1CJ7WM41BpM7mnqt9,277.53
Cube002,25-09-716-373,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,220,1,1000,1000,2220,1000,100,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuUTxABXuZdELzMzpdOKMZzj,147.17
Cube001,25-09-912-645,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,120,1,500,500,1120,500,50,1,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335IuX8NvqeOVWQv5b11z1iz8WX,81.12
