part_name,part_number,quantity,material_type,material_grade,material_thickness,finish,cut_len_in,num_cuts,mat_use_sqin,sheet_area_sqin,surf_area_sqin,volume_in3,length_in,thickness,source_file,part_id,price_per_part
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.032,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p032_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.55
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.032,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p032_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,25.39
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.032,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p032_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,61.08
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.3
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,32.24
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.032,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p032_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,70.8
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.032,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p032_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.1
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.032,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p032_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,23.55
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.032,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p032_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,59.24
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.04,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p040_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.6
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.04,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p040_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,25.94
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.04,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p040_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,61.64
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.35
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,32.79
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.04,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p040_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,71.36
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.04,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p040_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.15
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.04,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p040_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,24.1
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.04,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p040_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,59.8
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.05,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.71
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.05,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,26.95
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.05,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,62.57
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.46
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,33.81
